Title,Company,Career,academic,Location,Type,Skill,Address,Company_link,Title_link,S_day,D_day
차량SW · ICT · 경영지원 부문 채용,현대오토에버㈜,경력,학력무관,서울,정규직 외,"C, C++, MSSQL, SAP, DBMS, 컨설팅, SW, 솔루션","서울 강남구 테헤란로 510 (대치동, 루첸타워) ",https://www.jobkorea.co.kr/Recruit/Co_Read/C/19481,https://www.jobkorea.co.kr/Recruit/GI_Read/44582883?rPageCode=SL&logpath=21&sn=6,상시채용,상시채용
[W컨셉] 검색&데이터 개발팀 AI/ML Engineer,더블유컨셉코리아,경력6년↑,대졸↑,서울 강남구,정규직,"AWS, java, spring, spring boot","서울 강남구 테헤란로 231 (역삼동, 센터필드) 센터필드 EAST동 20층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/12801281,https://www.jobkorea.co.kr/Recruit/GI_Read/44576412?rPageCode=SL&logpath=21&sn=6,2024.04.30(화),2024.05.31(금)
[컴투스플랫폼] AI 엔지니어 (경력),㈜컴투스,경력,대졸↑,서울 금천구,정규직,,서울 금천구 가산동 371-17 BYC하이시티 A동 12층,https://www.jobkorea.co.kr/Recruit/Co_Read/C/33797,https://www.jobkorea.co.kr/Recruit/GI_Read/44554286?rPageCode=SL&logpath=21&sn=6,2024.04.25(목),2024.06.28(금)
[에너지 IT기업 해줌] 데이터사이언티스트 채용,㈜해줌,경력3년↑,대졸↑,서울 송파구,정규직,"Python, R, Tensorflow","서울 송파구 법원로 128 (문정동, 문정에스케이브이원지엘메트로시티) A동 706호",https://www.jobkorea.co.kr/Recruit/Co_Read/C/15223619,https://www.jobkorea.co.kr/Recruit/GI_Read/44547095?rPageCode=SL&logpath=21&sn=6,2024.04.25(목),2024.05.25(토)
[토스뱅크] CSS Modeler (기획/운영),㈜비바리퍼블리카,경력3년↑,학력무관,서울 강남구,정규직,"Python, SAS, SQL","서울 강남구 테헤란로 131 (역삼동, 한국지식재산센터) 11층 토스뱅크",https://www.jobkorea.co.kr/Recruit/Co_Read/C/19576969,https://www.jobkorea.co.kr/Recruit/GI_Read/44429023?rPageCode=SL&logpath=21&sn=6,상시채용,상시채용
SW 개발 인재 모집,㈜닷,경력3년↑,대졸↑,서울 금천구,정규직,"C++, Kotlin, Python, Pytorch, Swift",서울 금천구 가산디지털1로 146 (가산동) 대륭테크노타운22차 403호,https://www.jobkorea.co.kr/Recruit/Co_Read/C/18584793,https://www.jobkorea.co.kr/Recruit/GI_Read/44341119?rPageCode=SL&logpath=21&sn=6,상시채용,상시채용
[스마트팩토리] 요소기술 개발 리딩 - 팀장급,현대오토에버㈜,경력10년↑,학력무관,서울 강남구,정규직,,"서울 강남구 테헤란로 510 (대치동, 루첸타워) ",https://www.jobkorea.co.kr/Recruit/Co_Read/C/19481,https://www.jobkorea.co.kr/Recruit/GI_Read/44397125?rPageCode=SL&logpath=21&sn=6,상시채용,상시채용
2024년 상반기 각 부문 신입/경력 상시채용,㈜코난테크놀로지,신입·경력,초대졸↑,서울 서초구,정규직,"성취지향성, 꼼꼼함,                                     적응성, 성실성","서울 서초구 강남대로 327 (서초동, 대륭서초타워) 6층, 7층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/94563,https://www.jobkorea.co.kr/Recruit/GI_Read/44320698?rPageCode=SL&logpath=21&sn=6,2024.03.27(수),2024.05.26(일)
잡코리아 Tech 인재 상시채용,잡코리아(유),경력무관,대졸↑,서울 서초구 외,정규직,기본우대국가유공자,"서울 서초구 서초대로 301 (서초동, 동익성봉빌딩) 잡코리아 16~18F",https://www.jobkorea.co.kr/Recruit/Co_Read/C/23029,https://www.jobkorea.co.kr/Recruit/GI_Read/43634159?rPageCode=SL&logpath=21&sn=6,상시채용,상시채용
[컬리] 머신러닝 엔지니어,㈜컬리,경력5년↑,학력무관,서울 강남구,정규직,,"서울 강남구 테헤란로 133 (역삼동, 한국타이어빌딩) 한국타이어빌딩 컬리",https://www.jobkorea.co.kr/Recruit/Co_Read/C/43288683,https://www.jobkorea.co.kr/Recruit/GI_Read/44744530?rPageCode=SL&logpath=21&sn=6,2024.05.22(수),2024.06.21(금)
디지털트윈 Beamo 개발팀 팀리드,㈜쓰리아이,경력8년↑,학력무관,서울 강남구,정규직,"외국어                                                    [영어]                                                    TOEIC 750점 이상","서울 강남구 역삼로25길 23 (역삼동, 대일테크빌딩) 대일테크빌딩 1-4층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/23018794,https://www.jobkorea.co.kr/Recruit/GI_Read/44744190?rPageCode=SL&logpath=21&sn=6,2024.05.22(수),2024.06.21(금)
3D VR R&D 소프트웨어 개발 엔지니어,㈜쓰리아이,경력5년↑,대졸↑,서울 강남구,정규직,기본우대석사학위 수여자,"서울 강남구 역삼로25길 23 (역삼동, 대일테크빌딩) 대일테크빌딩 1-4층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/23018794,https://www.jobkorea.co.kr/Recruit/GI_Read/44742959?rPageCode=SL&logpath=21&sn=6,2024.05.22(수),2024.06.21(금)
[Vueron] Perception Engineer,㈜뷰런테크놀로지,경력2년↑,대졸↑,서울 서초구,정규직 외,"C, C++","서울 서초구 강남대로 311 (서초동, 한화생명보험빌딩) 19층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/30398448,https://www.jobkorea.co.kr/Recruit/GI_Read/44737934?rPageCode=SL&logpath=21&sn=6,2024.05.22(수),2024.06.21(금)
