,Location,Company,Title,Career,Edu,URL,InfoDetails,Tag,D_Day
229,서울 구로구 외,(주)코눈,[C#] Machine Vision 영상처리 개발자 모집,무관(신입포함),대졸(4년제) 이상(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48126217,,"IT개발·데이터,기술지원,유지보수,데이터엔지니어,SE(시스템엔지니어),머신러닝,딥러닝,빅데이터,솔루션,알고리즘,영상처리,.NET,C++,C,,C언어,Python,VisualC·C++,VisualBasic,XML,WPF,서울,구로구,금천구,마포구,영등포구,경기,광명시,부천시,성남시,수원시",상시채용
230,서울 송파구 외,(주)케이티넥스알,[kt NexR] (DO팀) Data Architect 채용,경력 1~4년,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48127209,,"IT개발·데이터,DBMS,RDBMS,MySQL,데이터분석가,데이터엔지니어,데이터시각화,딥러닝,머신러닝,데이터마이닝,빅데이터,챗봇,Python,R,서울,성동구",상시채용
231,서울 강남구,주식회사 이지서티,[정규직] (주)이지서티 C/C++ 직군 경력 우대채용,경력 1년 ↑,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48124373,,"IT개발·데이터,백엔드/서버개발,웹개발,프론트엔드,데이터분석가,머신러닝,빅데이터,클라우드,API,MySQL,AI(인공지능),Ajax,Java,Linux,Python,XML,C++,C언어,서울,강남구",시작일2024.05.03 13:00마감일2024.07.02 23:59
232,서울 강남구,주식회사 이지서티,[정규직] 솔루션 SW JAVA 경력개발자 채용,경력 1년 ↑,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48124365,,"IT개발·데이터,백엔드/서버개발,웹개발,프론트엔드,데이터분석가,머신러닝,빅데이터,클라우드,API,MySQL,AI(인공지능),Ajax,Java,Linux,Python,XML,서울,강남구",시작일2024.05.03 13:00마감일2024.07.02 23:59
233,서울 강남구,주식회사 이빗,[EBIT] AI Trainer - Python 개발자 채용 (재택근무 / 파트타임),무관(신입포함),대졸(4년제) 이상(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48123584,,"IT개발·데이터,데이터엔지니어,데이터분석가,백엔드/서버개발,데이터라벨링,머신러닝,Python,서울,강남구",시작일2024.05.03 11:00마감일2024.06.02 23:59
234,서울 금천구 외,(주)인터엑스,"[서울] [병역특례한정] AI Researcher (언어모델, LLM, NLP)",경력 2~7년,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47637861,,"IT개발·데이터,웹개발,Java,데이터엔지니어,데이터분석가,백엔드/서버개발,딥러닝,머신러닝,데이터시각화,빅데이터,정보통신,AI(인공지능),Git,Python,Linux,SQL,Spring,서울,강남구",시작일2024.02.23 00:00마감일2024.05.31 23:59
235,서울 강남구,넛지헬스케어(주),[넛지헬스케어] 데이터분석가 - 석사/박사,무관(신입포함),석사졸업 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48094829,,"IT개발·데이터,헬스케어,데이터시각화,데이터마이닝,데이터분석가,데이터엔지니어,검색엔진,데이터라벨링,머신러닝,딥러닝,모델링,네트워크,빅데이터,블록체인,솔루션,이미지프로세싱,음성인식,영상처리,알고리즘,텍스트마이닝,풀스택,Python,SQL,AWS,기획·전략,데이터분석,서울,강남구",시작일2024.04.29 15:00마감일2024.06.28 23:59
236,서울 금천구,(주)경우시스테크,Linux시스템 개발자 채용,무관(신입포함),"대졸(2,3년제) 이상",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48112159,,"IT개발·데이터,Linux,앱개발,머신러닝,딥러닝,임베디드리눅스,C,,C언어,C++,서울,금천구",상시채용
237,서울 금천구,(주)뉴데이소프트,[신입] 솔루션 기술지원 엔지니어 모집(정규직),신입·경력 2년 ↓,"대졸(2,3년제) 이상(예정자 가능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48110360,,"IT개발·데이터,기술지원,데이터엔지니어,정보보안,데이터마이닝,검색엔진,머신러닝,빅데이터,쉘스크립트,Hadoop,ElasticStack,Linux,스크립트,텍스트마이닝,서울,금천구",시작일2024.05.02 08:00마감일2024.05.31 23:59
238,서울 송파구,(주)아도스,ML Engineer 채용,경력 1년 ↑,대졸(4년제) 이상(예정자 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48106308,,"IT개발·데이터,머신러닝,서울,송파구",상시채용
239,서울 강남구 외,(주)원프레딕트,MLOps Platform Engineer,경력 2~10년,학력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47808714,,"IT개발·데이터,웹개발,Java,데이터엔지니어,데이터분석가,백엔드/서버개발,딥러닝,머신러닝,데이터시각화,빅데이터,정보통신,AI(인공지능),Git,Python,Linux,SQL,Spring,서울,강남구",상시채용
