,Location,Company,Title,Career,URL
108,서울 서초구,스튜디오랩(STUDIO LAB),머신러닝 엔지니어 - 자연어 처리 (NLP),경력 3-7년,https://www.wanted.co.kr/wd/147279
109,서울 강남구,엔쓰리엔(N3N),Deep Learning Engineer (Vision 연구/개발),경력 1-5년,https://www.wanted.co.kr/wd/221071
110,서울 강남구,마인즈앤컴퍼니,AI DataScientist (전문연 지원 가능),경력 3-10년,https://www.wanted.co.kr/wd/215981
111,서울 강남구,하이퍼커넥트,Sr. Machine Learning Software Engineer,경력 3-30년,https://www.wanted.co.kr/wd/197523
112,서울 강남구,콜리,[100억↑투자] 머신러닝 엔지니어,신입-경력 25년,https://www.wanted.co.kr/wd/172560
113,서울 송파구,"우아한형제들(배달의민족,Tech)",Data Scientist / MLOps Engineer,경력 7-20년,https://www.wanted.co.kr/wd/208973
114,서울 강남구,슬링,머신러닝 엔지니어,경력 1-10년,https://www.wanted.co.kr/wd/185040
115,서울 송파구,"우아한형제들(배달의민족,Tech)",Data Engineer,경력 1-2년,https://www.wanted.co.kr/wd/208975
116,서울 강남구,알티엠,Senior Data Scientist (다변량 시계열)_5년 이상,경력 5-12년,https://www.wanted.co.kr/wd/176470
117,서울 서초구,버킷플레이스(오늘의집),"Senior Software Engineer, Machine Learning, XR",경력 6-20년,https://www.wanted.co.kr/wd/133054
118,서울 강남구,수퍼톤,[400억↑투자] ML Engineer (5년 이상),경력 5-15년,https://www.wanted.co.kr/wd/212794
119,서울 강남구,토스뱅크,ML Engineer,경력 2-20년,https://www.wanted.co.kr/wd/203912
120,서울 강남구,엔쓰리엔(N3N),로봇개발팀 AI 음성 모델 연구개발자,경력 3-10년,https://www.wanted.co.kr/wd/195607
121,서울 강남구,덴컴,인프라 및 보안 담당자,경력 5-10년,https://www.wanted.co.kr/wd/212283
122,서울 강남구,스파크엑스,AI(Computer Vision)기반 로봇 프로그래머 양성 교육 전임강사,경력 5-20년,https://www.wanted.co.kr/wd/204369
123,서울 서초구,시나몬,[200억↑투자] AI Research Engineer(Human motion generation),경력 2-10년,https://www.wanted.co.kr/wd/136783
124,서울 서초구,마스오토,소프트웨어 엔지니어 (자율주행),경력 1-10년,https://www.wanted.co.kr/wd/198840
125,서울 강남구,씨드로닉스,Deep learning(이미지) 연구/개발,경력 3-8년,https://www.wanted.co.kr/wd/70433
126,서울 강남구,포티투닷(42dot),System Engineer (Autonomous Driving - Control),경력 3-15년,https://www.wanted.co.kr/wd/185686
127,서울 송파구,이글루코퍼레이션,인공지능/머신러닝 솔루션 엔진 개발 (5년이상),경력 5-10년,https://www.wanted.co.kr/wd/203157
128,서울 강남구,클럼엘,[6년 이상] 시니어 Software Engineer (Data),경력 6-15년,https://www.wanted.co.kr/wd/212082
129,서울 강남구,원프레딕트(onepredict),Data Platform Engineer,경력 5-10년,https://www.wanted.co.kr/wd/211199
130,서울 강남구,몰로코,Senior Machine Learning Engineer,경력 4-15년,https://www.wanted.co.kr/wd/194010
131,서울 강남구,토스뱅크,MLOps Engineer,경력 2-20년,https://www.wanted.co.kr/wd/203976
132,서울 강남구,강남언니(힐링페이퍼),머신러닝 엔지니어 (전문연구요원),경력 3-9년,https://www.wanted.co.kr/wd/207043
133,서울 서초구,포티투닷(42dot),Deep Learning Engineer (음성 합성 TTS 연구/개발),경력 1-20년,https://www.wanted.co.kr/wd/199491
134,서울 강남구,슈페릭스,Quantitative Developer,경력 3-25년,https://www.wanted.co.kr/wd/106153
135,서울 강남구,룰루랩(lululab),피부진단 솔루션 개발 (AI개발자),경력 5-8년,https://www.wanted.co.kr/wd/165157
136,서울 서초구,시나몬,[200억↑투자] AI Research Engineer(Image/Video generation),경력 2-15년,https://www.wanted.co.kr/wd/205150
137,서울 강남구,수퍼톤,[400억↑투자] SW Developer (C++),경력 5-20년,https://www.wanted.co.kr/wd/166770
138,서울 강남구,몰로코,Staff Machine Learning Engineer,경력 7-20년,https://www.wanted.co.kr/wd/194016
139,서울 구로구,미리디,[미리캔버스] AI 모델 연구 (ML Researcher),경력 3-10년,https://www.wanted.co.kr/wd/148700
140,서울 강남구,플루언트,"AI 연구원 (MLOps, 엔지니어)",경력 2-15년,https://www.wanted.co.kr/wd/128700
141,서울 강남구,토스뱅크,CSS Modeler,경력 3-15년,https://www.wanted.co.kr/wd/204192
142,서울 강남구,플리토,"AI, ML Engineer 박사급",신입-경력 7년,https://www.wanted.co.kr/wd/191313
143,서울 서초구,마키나락스,머신러닝 엔지니어 (Vision),경력 3-6년,https://www.wanted.co.kr/wd/221283
144,서울 송파구,이노룰스,AI 개발자,경력 5-15년,https://www.wanted.co.kr/wd/221245
145,서울 송파구,이노룰스,머신러닝 개발자 (5년 이상),경력 5-15년,https://www.wanted.co.kr/wd/221256
146,서울 강남구,고요에이아이,데이터 분석 처리 - Data Engineer (DE) (1년이상),경력 1-15년,https://www.wanted.co.kr/wd/221232
147,서울 송파구,원티드랩,리서치 엔지니어(PL급) [AI팀],경력 3-10년,https://www.wanted.co.kr/wd/220937
148,서울 강남구,텐,인공지능 MLOps 플랫폼 인프라 엔지니어,경력 1-10년,https://www.wanted.co.kr/wd/221161
149,서울 강남구,엔쓰리엔(N3N),Deep Learning Engineer (음성 합성 TTS 연구/개발),경력 1-5년,https://www.wanted.co.kr/wd/221087
150,서울 강남구,엔쓰리엔(N3N),"Deep Learning Engineer (STT, TTS 연구/개발)",경력 1-5년,https://www.wanted.co.kr/wd/221093
151,서울 서초구,뷰노,생체신호개발팀장,경력 5-20년,https://www.wanted.co.kr/wd/219718
152,서울 강남구,블루닷,코덱 SW 엔지니어,경력 2-12년,https://www.wanted.co.kr/wd/168788
153,서울 강남구,블루닷,코덱 엔지니어 (화질분석) (신입),경력 2-12년,https://www.wanted.co.kr/wd/174091
154,서울 서초구,버킷플레이스(오늘의집),"Senior Software Engineer, Machine Learning",경력 8-20년,https://www.wanted.co.kr/wd/153977
155,서울 서초구,버킷플레이스(오늘의집),"Software Engineer, Machine Learning",경력 4-7년,https://www.wanted.co.kr/wd/153978
